Type of procedure actual,Type of Procedure
04-NEGOTIATED PROCEDURE WITHOUT PRIOR PUBLICATION OF THE NOTICE (MEPA),Negotiated without prior call for competition
01-OPEN PROCEDURE,Open
04-NEGOTIATED PROCEDURE WITHOUT PRIOR PUBLICATION,Negotiated without prior call for competition
