Type of procedure actual,Type of Procedure
Public announcement,Other 
Open procedure,Open
Not elected,Other 
Negotiation procedure with participation competition,Negotiated without prior call for competition
Restricted tender,Restricted
Order changes during the EU contract term (so-called supplementary procedure),Other 
