Type of procedure actual,Type of Procedure
Negotiated with call for competition,Negotiated with prior publication of a call for competition /   competitive with negotiation
Competitive procedure with negotiation,Negotiated with prior publication of a call for competition /   competitive with negotiation
Single stage,Open
Open procedure,Open
Open procedure - Accelerated procedure,Open
Restricted procedure,Restricted
,
,
,
,
,
,
,
,
,
,
