Type of procedure actual,Type of Procedure
restricted tender with participation competition,Concession award without prior concession notice
negotiation procedure with participation competition,Negotiated with prior publication of a call for competition /competitive with negotiation
public tender,Open
open procedure,Open
restricted tender with participation competition,Restricted
