Type of procedure actual,Type of Procedure
Public announcement,Competitive tendering
negotiated procedure,Negotiated procedure
negotiated award,Negotiated procedure
Award of contract without prior publication of a call for competition in the Official Journal of the European Union,Negotiated without prior call for competition
open procedure,Open

