Type of procedure actual,Type of Procedure
Proc.Adapt,Other
AO Open,Open
Competitive Dialog,Competitive dialogue
DSP,Other
open procedure,Open
Adapted procedure,Other
Competitive procedure with negotiation,Negotiated with prior publication of a call for competition /   competitive with negotiation
Restricted Competition,Restricted
Other,Other
