Type of procedure actual,Type of Procedure
Open procedure,Open
Restricted tender,Restricted
Free assignment,Other 
Negotiated award without participation competition,Negotiated award with public participation competition
Negotiation procedure with participation competition,Negotiated procedure
Negotiated procedure without participation competition,Negotiated procedure
