Type of procedure actual,Type of Procedure
negotiated award,Negotiated procedure
open procedure,Open
Restricted tender,Restricted
Negotiated award without participation competition,Negotiated procedure
Negotiated procedure without participation competition,Negotiated procedure
Free assignment,Other
Handover,Other
