Type of procedure actual,Type of Procedure
Open call for tenders,Open
Restricted call for tenders,Restricted
Restricted tender,Restricted
Open competition,Open
Restricted competition,Restricted
Competitive dialogue,Other
Negotiated market,Negotiated procedure
Adapted procedure,Open
Other procedure,Open
Procedure with negotiations,Negotiated procedure
Procedure for awarding specific contracts,Other
Procedure for awarding subsequent contracts,Other
Dynamic Acquisition System,Other
