NAICS Code,CPV
314910,18936000#19212300
31499,19200000
314994,39541000
314999,19200000
315,18000000
3151,19435200#19400000
31512,19435200#19400000
315120,19435200#19400000
3152,19435000
31521,19435000
315210,19435000
31525,19435000
315250,19435000
3159,18300000#18000000
31599,18300000#18000000
315990,18300000#18000000
316,19100000
3161,19100000
31611,19100000
316110,19100000
3162,18800000
31621,18800000
316210,18800000
3169,19100000
31699,19100000
316990,19100000
321,03410000
3211,03410000
32111,03410000
321113,03410000
321114,03410000
3212,44191100#03410000
32121,44191100#03410000
321211,03418100#03410000
321212,03415000#03410000
321215,03410000
321219,03410000
3219,03410000
32191,03410000#44812400
321911,44191000
321912,03410000
321918,45432114
32192,03410000
321920,03410000
32199,03410000
321991,44211000
321992,44211000
321999,03410000
322,22800000
3221,03460000#22810000
32211,03460000
322110,03460000
32212,22800000
322120,22800000
32213,22800000
322130,22800000
3222,22800000
32221,22800000
322211,30193700#22993400
322212,30193700#22993400
322219,30193700#22993400
32222,22990000
322220,22990000
32223,30192700
322230,30192700
32229,22800000
322291,33771000#33770000
322299,22800000
323,22500000#22610000
3231,22500000#22610000
32311,22500000#22610000
323111,22500000#22610000
323113,22500000#22610000
323117,22100000#22110000
32312,22500000#22610000
323120,22500000#22610000
324,09200000
3241,09200000
32411,09200000
324110,09200000
32412,44113100#44113620#44112500
324121,44113100#44113620#44111600
324122,44113100#44113330
32419,09200000
324191,09211000#24951000
324199,09200000
325,24000000
3251,24000000
32511,09200000
325110,09200000
32512,24110000
325120,24110000
32513,24200000
325130,24200000
32518,24310000
325180,24310000
32519,24320000
325193,24322510
325194,03000000#24000000
325199,24320000
3252,24327400#19710000#19720000
32521,24327400#19710000
325211,24327400 #19520000
325212,19710000
32522,19710000#19721000
325220,19710000#19721000
3253,24451000#24440000
32531,24451000#24440000
325311,24410000
325312,24420000
325314,24400000
325315,24400000
32532,24451000
325320,24451000
3254,33680000#33100000
32541,33680000#33100000
325411,33100000
325412,33680000
325413,33000000
325414,33954000#33900000
3255,44113330#24911200#44810000
32551,44113330#44810000
325510,44113330#44810000
32552,24911200
325520,24911200
3256,33711900#39830000#39831600
32561,33711900#39830000
325611,33711900#39831200
325612,39800000
325613,39820000
32562,39831600
325620,39831600
3259,24000000#24960000
32591,22610000
325910,22610000
32592,24600000
325920,24600000
32599,24000000#24960000
325991,24327400
325992,30125100#32354300#24931000
325998,24000000#24960000
326,19510000#19520000
3261,19510000
32611,19520000
326111,19520000#18923100
326112,19520000
326113,19520000
32612,44163000#19520000#44334000
326121,19520000
326122,19520000
32613,19520000
326130,19520000
32614,19521000
326140,19521000
32615,19520000
326150,19520000
32616,19520000#39225710
326160,19520000#39225710
32619,19520000
326191,19520000
326199,19520000
3262,19510000
32621,34350000
326211,34350000
326212,34350000
32622,19520000#19510000
326220,19520000#19510000
32629,19510000
326291,19510000
326299,19510000
327,14800000
3271,14221000
32711,44111300#44115210#39715300
327110,44111300#44115210#39715300
32712,14221000#44111000
327120,14221000#44111000
3272,14820000
32721,14820000
327211,14820000
327212,14820000#39299000
327213,14820000
327215,14820000
3273,44111200#44114000
32731,44111200
327310,44111200
32732,44114100
327320,44114100
32733,44111100#44111600#44114000#44114220
327331,44111100#44111600#44114000#44114220
327332,44114220
32739,44114000
327390,44114000
3274,44921000
32741,44921200
327410,44921200
32742,44921100
327420,44921100
3279,14800000
32791,14810000
327910,14810000
32799,14800000
327991,14811000
327992,14523100
327993,19281000
327999,14800000
331,14700000
3311,14621000#14711000#14622000
33111,14621000#14711000#14622000
331110,14621000#14711000#14622000
3312,14622000
33121,14622000#14711000
331210,14622000#14711000
33122,42932100
331221,42932100
331222,42113100#42000000
3313,14721000
33131,14721000
331313,14721000
331314,14721000
331315,14721000
331318,14721000
3314,14612000
33141,14612000
331410,14612000
33142,14715000
331420,14715000
33149,14612000
331491,14612000
331492,14612000
3315,14600000
33151,14600000
331511,14711000
331512,14622000
331513,14622000
33152,14612000
331523,14612000
331524,14721000
331529,14612000
332,14700000
3321,42634000#42635000
33211,42634000#42635000
332111,14711000#14622000
332112,14600000#42634000
332114,43400000
332117,43700000
332119,42635000
3322,39240000#44511000
33221,39240000#44511000
332215,39221100#39221180
332216,44511510#44511000
3323,14700000
33231,43327000#44211000#44171000
332311,43327000#44211000
332312,43327000#44211000
332313,44171000
33232,14600000#14700000#42000000
332321,14600000#14700000#44221100#44221200
332322,44172000
332323,14600000#14700000#42000000
3324,44600000
33241,42511100#44621200
332410,42511100#44621200
33242,44611000
332420,44611000
33243,44610000
332431,44618400
332439,44610000
3325,44316400
33251,44316400
332510,44316400
3326,44550000#44310000
33261,44550000#44310000
332613,44550000
332618,44310000
3327,44531510#44531600
33271,42000000
332710,42000000
33272,44531510#44531600
332721,42113170#42621100#42000000
332722,44531510#44531600#44532100#44532200
3328,42962500#44113330#42940000
33281,42962500#44113330#42940000
332811,43700000#42000000
332812,44113330#42962500
332813,42000000
3329,14700000
33291,42131000
332911,42131000
332912,42131000#44165100
332913,44115210
332919,42131000#44163200
33299,14600000#14700000 
332991,44442000
332992,35330000#35320000
332993,35330000
332994,35330000
332996,44163100#44163200
332999,14600000#14700000 
333,42000000
3331,16000000#43000000#43300000
33311,16000000
333111,16000000
333112,16700000#16160000
33312,43300000
333120,43300000
33313,43000000
333131,43000000
333132,42511200#43000000
3332,42000000
33324,42000000
333241,42215000#42200000
333242,31712330
333243,42800000#43810000
333248,42000000
3333,42000000
33331,42000000
333310,42000000
3334,42510000#42520000
33341,42510000#42520000
333413,42522000#39717000
333414,39715200
333415,39717000#42510000
3335,42630000
33351,42630000
333511,43400000
333514,42600000
333515,42600000
333517,42600000
333519,42630000#42932100
3336,42121000#3431100#310000000
33361,42121000#3431100#310000000
333611,31121330
333612,42141300#34000000
333613,31000000#42000000
333618,34310000
3339,42900000
33391,42123000#42122000
333912,42123400#42123100
333914,38300000#38410000
33392,42410000
333921,42417000
333922,42417200
333923,42418200#42416300
333924,42414130#42415000
33399,42900000
333991,44511000#42676000
333992,42661100#42662000
333993,42921320
333994,42310000#42942000
333995,42132100#42121100
333996,42111000#42122000
333998,42900000
334,30200000
3341,30200000
33411,30200000
334111,30200000
334112,30233100
334118,30200000
3342,32570000
33421,32550000
334210,32550000
33422,32210000#32510000
334220,32210000#32510000
33429,32570000
334290,32570000
3343,32320000#32323300#32351300
33431,32320000#32323300#32351300
334310,32320000#32323300#32351300
3344,31712330
33441,31712330
334412,31712310
334413,31712330
334416,31711510#31711130#31170000
334417,31214200
334418,31200000
334419,31711100
3345,38110000#38300000#38100000
33451,38110000#38300000#38100000
334510,38000000
334511,38110000#38000000
334512,38424000
334513,38300000
334514,38000000
334515,38341300
334516,38000000
334517,38000000
334519,38300000#38570000
3346,31700000
33461,31700000
334610,31700000
335,31600000
3351,31500000
33513,31500000
335131,31518200#31500000
335132,31518200#31500000
335139,31500000#31531000
3352,39220000
33521,31600000
335210,31600000
33522,39220000
335220,39220000
3353,31600000
33531,31600000
335311,31170000
335312,42111000#31120000
335313,31214000#31214500
335314,31221000
3359,31600000
33591,31440000
335910,31440000
33592,31300000
335921,32560000
335929,31300000
33593,31300000
335931,31611000#31300000
335932,31611000#31300000
33599,31600000
335991,14814000#24311800
335999,31600000
336,34000000
3361,34100000
33611,34100000
336110,34100000
33612,34140000#34133000
336120,34140000#34133000
3362,34100000#34223300
33621,34100000#34223300
336211,34100000
336212,34223300
336213,34100000
336214,34223300
3363,34100000
33631,34310000
336310,34310000
33632,34100000
336320,34100000
33633,34100000#34327000
336330,34100000#34327000
33634,34322100
336340,34322100
33635,34100000
336350,34100000
33636,34100000
336360,34100000
33637,34100000
336370,34100000
33639,34100000
336390,34100000
3364,34700000#35640000
33641,34700000#35640000
336411,34700000
336412,34731100
336413,34731100#34741000
336414,35620000#35600000
336415,35620000#35600000
336419,35620000#35600000
3365,34620000
33651,34620000
336510,34620000
3366,34500000
33661,34500000
336611,34500000#50241000
336612,34500000
3369,34000000
33699,34000000
336991,34400000
336992,35410000#35411000
336999,34000000
337,39100000
3371,39141000
33711,39141000
337110,39141000
33712,39220000#39100000
337121,39220000#39100000
337122,39220000#39100000
337126,39220000#39100000
337127,39100000
3372,39130000
33721,39130000
337211,39130000
337212,39000000
337214,39130000
337215,44112300#39131000#44421720
3379,39130000
33791,39143112
337910,39143112
33792,39515400
337920,39515400
339,39113000#39150000#39290000#39300000#39525000
3391,33100000
33911,33100000
339112,33169000#33100000
339113,33169000#33100000
339114,33131500
339115,33122000
339116,33131500
3399,39113000#39150000#39290000#39300000#39525000
33991,39293500
339910,39293500
33992,37415000#37410000
339920,37415000#37410000
33993,37510000#37520000#37524000
339930,37510000#37520000#37524000
33994,30192000
339940,30192000
33995,30000000
339950,30000000
33999,39113000#39150000#39290000#39300000#39525000
339991,39360000#42921300
339992,37310000
339993,39227110#18451000#18450000
339994,39224100#39224200
339995,39296100
339999,39113000#39150000#39290000#39300000#39525000
42,55900000
423,55900000
4231,34100000
42311,34100000
423110,34100000
42312,34100000
423120,34100000
42313,34350000
423130,34350000
42314,34100000
423140,34100000
4232,39100000#39140000
42321,39100000
423210,39100000
42322,39100000#39140000
423220,39100000#39140000
4233,03419000#44110000
42331,44191100#44100000
423310,44191100#44100000
42332,44111100#44910000
423320,44111100#44910000
42333,44112500#44112600
423330,44112500#44112600
42339,44110000
423390,44110000
4234,55900000#38650000
42341,38650000
423410,38650000
42342,30190000
423420,30190000
42343,30200000
423430,30200000
42344,42000000
423440,42000000
42345,33100000#33131100
423450,33100000#33131100
42346,33122000
423460,33122000
42349,33100000#33131100
423490,33100000#33131100
4235,14700000#14523100
42351,14700000
423510,14700000
42352,14523100#09111100
423520,14523100#09111100
4236,31710000#31680000
42361,31710000#31300000#31611000
423610,31710000#31300000#31611000
42362,31710000#31300000#31611000
423620,31710000#31300000#31611000
