NAICS Code,CPV
5419,79000000
54191,79310000#79320000
541910,79310000#79320000
54192,79961000
541921,79961350
541922,79961000
54193,79540000#79530000
541930,79540000#79530000
54194,85200000
541940,85200000
54199,71350000#79000000
541990,71350000#79000000
55,79400000
551,79400000
5511,79400000
55111,79400000
551111,66110000
551112,66110000
551114,79500000
56,90500000
561,75100000
5611,75100000
56111,75100000
561110,75100000
5612,79993100
56121,79993100
561210,79993100
5613,75314000
56131,79610000#75314000
561311,79610000#75314000
561312,75111100
56132,75313100#79633000
561320,75313100#79633000
56133,79600000
561330,79600000
5614,79400000#79500000
56141,79131000
561410,79131000
56142,79512000
561421,79512000
561422,79512000
56143,79990000
561431,64110000#64121100
561439,79990000
56144,79940000
561440,79940000
56145,66113000
561450,66113000
56149,79990000
561491,63000000#60000000
561492,75231100
561499,79990000
5615,63515000
56151,63510000
561510,63510000
56152,63500000#63530000
561520,63500000#63530000
56159,63515000
561591,63513000
561599,63500000
5616,79720000#79710000
56161,79720000#79713000
561611,79720000#79713000
561612,79713000#79715000
561613,35410000
56162,98300000
561621,98300000
561622,98395000
5617,45211000
56171,90922000
561710,90922000
56172,98341130
561720,98341130
56173,45112700
561730,45112700
56174,90910000
561740,90910000
56179,45211000
561790,45211000
5619,63700000#71336000
56191,79921000
561910,79921000
56192,79950000
561920,79950000
56199,63700000#71336000
561990,63700000#71336000
562,90700000
5621,90700000
56211,90524100
562111,90524100
562112,90524100
562119,90524100
5622,90513000#90521000
56221,90513000#90521000
562211,90513000#90521000
562212,90531000#90524100
562213,90513300
562219,90513000
5629,90500000
56291,90500000
562910,90500000
56292,90500000
562920,90500000
56299,90500000
562991,90450000
562998,90500000
61,80000000
611,80000000
6111,80200000
61111,80200000
611110,80200000
6112,80300000
61121,80300000
611210,80300000
6113,80200000#80300000
61131,80200000#80300000
611310,80200000#80300000
6114,80200000#80300000#80500000
61141,80410000
611410,80410000
61142,80533100
611420,80533100
61143,80532000
611430,80532000
6115,80531000#80531200
61151,80531000#80531200
611511,80400000
611512,80500000
611513,80500000
611519,80531000#80531200
6116,80410000
61161,80410000
611610,80410000
61162,80400000
611620,80400000
61163,80580000
611630,80580000
61169,80400000
611691,80590000
611692,80411000
611699,80400000
6117,80000000
61171,80000000
611710,80000000
62,85100000
621,85100000
6211,85100000
62111,85100000
621111,85100000
621112,85100000
6212,85100000
62121,85100000
621210,85100000
6213,85100000
62131,85100000
621310,85100000
62132,85100000
621320,85100000
62133,85100000
621330,85100000
62134,85100000
621340,85100000
62139,85100000#85121000
621391,85100000
621399,85100000#85121000
6214,85112200
62141,85312330
621410,85312330
62142,85112200
621420,85112200
62149,85112200
621491,85120000
621492,85111900
621493,85111100#85121300
621498,85112200
6215,85111200
62151,85111200
621511,85111200
621512,85150000#85100000
6216,85144000
62161,85144000
621610,85144000
6219,85144000#85143000
62191,85143000
621910,85143000
62199,85144000#85143000
621991,85146000#85146200
621999,85144000#85143000
622,85111000
6221,85111100#85111200
62211,85111100#85111200
622110,85111100#85111200
6222,85111500
62221,85111500
622210,85111500
6223,85111000
62231,85111000
622310,85111000
623,85144100
6231,85144100
62311,85144100
623110,85144000#85121270#85100000
6232,85144000#85121270#85100000
62321,85144000#85121270#85100000
623210,85144000#85121270#85100000
62322,85144000#85121270#85100000
623220,85144000#85121270#85100000
6233,85144100#85100000#85312100#85311100 
62331,85144100#85100000#85312100#85311100 
623311,85144100#85100000#85312100#85311100 
623312,85312100
6239,85144000
62399,85144000
623990,85144000
624,85320000
6241,85300000
62411,85311300
624110,85311300
62412,85311100
624120,85311100
62419,85311100
624190,85311100
6242,98000000#85300000
62421,98000000#85300000
624210,98000000#85300000
62422,70333000#98000000
624221,44112100
624229,70333000#98000000
62423,98000000#85300000
624230,98000000#85300000
6243,85312510
62431,85312510
624310,85312510
6244,85312110
62441,85312110
624410,85312110
71,92330000#92300000
711,92300000
7111,92300000
71111,92300000
711110,92300000
71112,92340000
711120,92340000
71113,92312250
711130,92312250
71119,92300000
711190,92300000
7112,92600000
71121,92300000
711211,92600000
711212,92600000
711219,92600000
7113,92621000
71131,92621000
711310,92621000
71132,92621000
711320,92621000
7114,92621000#92300000
71141,92621000#92300000
711410,92621000#92300000
7115,92340000
71151,92340000
711510,92340000
712,92520000#92500000
7121,92520000#92500000
71211,92521000
712110,92521000
71212,92520000
712120,92520000
71213,92530000
712130,92530000
71219,92533000
712190,92533000
713,92331000
7131,92331000
71311,92331000
713110,92331000
71312,92331000
713120,92331000
7132,92351000
71321,92351200
713210,92351200
71329,92351000
713290,92351000
7139,92331000
71391,92600000
713910,92600000
71392,92600000
713920,92600000
71393,98360000#45242200
713930,98360000#45242200
71394,92000000#92600000
713940,92000000#92600000
71395,37472000#92600000
713950,37472000#92600000
71399,92331200
713990,92331200
72,98341000#55110000
721,98341000
7211,55110000
72111,55100000
721110,55100000
72112,92351200#92300000
721120,92351200#92300000
72119,55110000
721191,55270000
721199,55110000
7212,92300000#55220000
72121,92300000#55220000
721211,92300000#55220000
721214,55220000
7213,55200000
72131,55200000
721310,55200000
722,55300000
7223,55300000
72231,55300000
722310,55300000
72232,55300000
722320,55300000
72233,55300000
722330,55300000
7224,55400000#55100000
72241,55400000#55100000
722410,55400000#55100000
7225,55300000
72251,55300000
722511,55300000
722513,55300000
722514,55330000#55300000
722515,55400000#55300000
81,79000000
811,50000000
8111,50110000#50100000
81111,50110000#50100000
811111,50110000#50100000
811114,50110000#50100000
81112,50110000#50100000
811121,50110000#50100000
811122,50110000#50100000
81119,50110000#50100000
811191,50110000#50100000
811192,50110000#50100000
811198,50110000#50100000
8112,50400000
81121,50400000
811210,50400000
8113,50500000
81131,50500000
811310,50500000
8114,50300000
81141,50800000#50500000
811411,50800000#50500000
811412,50500000
81142,50850000
811420,50850000
81143,50820000
811430,50820000
81149,50300000
811490,50300000
812,98311000#98000000
8121,98341140
81211,98320000
812111,98321100
812112,98321100
812113,98320000
81219,98341140
812191,98390000#98300000
812199,98341140
8122,98371000#98370000
81221,98371000#98370000
812210,98371000#98370000
81222,98371000#98370000
812220,98371000#98370000
8123,98310000#98311000
81231,98311000#98310000
812310,98311000#98310000
81232,98311000#98310000
812320,98311000#98310000
81233,19231000#18100000
812331,19231000
812332,98311000
8129,98000000
81291,85200000
812910,85200000
81292,92111300
812921,92111300
812922,92111300
81293,63712400#98351110
812930,63712400#98351110
81299,98000000
812990,98000000
813,98131000
8131,98131000
81311,98131000
813110,98131000
8132,98300000
81321,98300000
813211,98300000
813212,98100000
813219,98100000
8133,98133000
81331,98133000
813311,98133000
813312,92534000
813319,98133000
8134,98133100
81341,98133100
813410,98133100
8139,79996000#98111000
81391,79996000#98111000
813910,79996000#98111000
81392,98112000
813920,98112000
81393,98900000#98000000
813930,98900000#98000000
81394,98132000
813940,98132000
81399,98900000
813990,98900000
814,98500000
8141,98500000
81411,98500000
814110,98500000
92,75100000
921,75111000
9211,75111000
92111,75111100
921110,75111100
92112,75111200
921120,75111200
92113,75110000
921130,75110000
92114,75111000
921140,75111000
92115,75131000
921150,75131000
92119,75131000
921190,75131000
922,75230000
9221,75230000
92211,75231100
922110,75231100
92212,75241100
922120,75241100
92213,75231100#75242000
922130,75231100#75242000
92214,75231100#75242000#75230000
922140,75231100#75242000#75230000
92215,75230000#75240000
922150,75230000#75240000
92216,51700000#35110000
922160,51700000#35110000
92219,75230000
922190,75230000
923,75100000
9231,75100000
92311,75100000
923110,75100000
92312,75100000
923120,75100000
92313,75100000
923130,75100000
92314,75100000
923140,75100000
924,75100000
9241,75100000
92411,75100000
924110,75100000
92412,75100000
924120,75100000
925,75100000
9251,75100000
92511,75100000
925110,75100000
92512,75100000
925120,75100000
926,75100000
9261,75100000
92611,75100000
926110,75100000
92612,75100000
926120,75100000
92613,75100000
926130,75100000
92614,75131000
926140,75131000
92615,75131000
926150,75131000
927,75131000
9271,75131000
92711,75131000
927110,75131000
928,75241000#75000000
9281,75241000#75000000
92811,75241000
928110,75241000
92812,75131000
928120,75131000
