Type of procedure actual,Type of Procedure
Adapted procedure,Other 
Open Call for Tenders,Other 
Restricted Call for Tenders,Restricted
Negotiated market,Negotiated without prior call for competition
Open Competition,Open
Restricted Competition,Restricted
Competitive dialogue,Competitive tendering
Others,Other 
Concession,Other 
