Segment,CPV
51240000,33600000
51250000,33617000
52100000,44112200
52120000,39514100# 39513000# 39121200
52130000,90911000
52140000,39700000
52150000,39221100# 39221000
52160000,30100000
52170000,39191000
53100000,18400000
53110000,18800000
53120000,18920000# 18939000# 18921000
53130000,33700000
53140000,39227000
54100000,18510000# 39293500
54110000,18521000
54120000,18513400
55100000,22900000
55110000,31710000
55120000,34928470
56100000,39100000
56110000,39100000
56120000,39100000# 39150000
56130000,39100000
60100000,39162100
60110000,39298900
60120000,37823500
60130000,37300000
60140000,37500000
70100000,77800000
70110000,16400000
70120000,77000000
70130000,90522000
70140000,03110000# 90522000
70150000,77200000# 03440000
70160000,92534000
70170000,71300000# 71600000
71100000,45254000
71110000,76100000# 76200000
71120000,45255500
71130000,76100000# 76200000
71140000,76100000# 76200000
71150000,76100000# 76200000
71160000,76100000# 76200000
72100000,50700000
72110000,45210000
72120000,45215210
72140000,43300000
72150000,45262000
73100000,24000000# 19520000
73110000,03410000# 22800000
73120000,14520000
73130000,15000000
73140000,19400000
73150000,79400000# 63100000
73160000,43320000
73170000,42992000
73180000,42000000
76100000,907222000
76110000,98341130# 90910000
76120000,90510000
76130000,90520000
77100000,90710000
77110000,90720000
77120000,90730000
77130000,90740000
78100000,63100000
78110000,60140000# 60150000
78120000,63120000
78130000,63121100
78140000,60000000
78180000,50111000
80100000,79400000
80110000,79414000
80120000,79100000
80130000,70000000
80140000,79342000
80150000,79300000
80160000,79900000
81100000,71300000
81110000,72540000# 72610000
81120000,79311400
81130000,79300000
81140000,48323000# 72212323
81150000,90700000
81160000,72222300
82100000,79341000
82110000,79530000
82120000,92511000
82130000,79961000
82140000,79822500
82150000,92312000
83100000,65000000
83110000,64200000
83120000,79140000
84100000,66110000
84110000,79211000# 79211100
84120000,66120000
84130000,66510000
84140000,66517000
85100000,85100000
85110000,85110000
85120000,85120000
85130000,85120000
85140000,85110000
85150000,85300000
85160000,50421000
85170000,85100000
86100000,80530000
86110000,80210000
86120000,80400000
86130000,80340000
86140000,80100000# 80200000# 80300000
90100000,55520000
90110000,55100000
90120000,63515000
90130000,92500000
90140000,92610000# 92622000
90150000,92300000
91100000,98900000
91110000,98514000
92100000,75242000
92110000,75221000
92120000,75241000
93100000,98132000
93110000,98132000
93120000,75100000
93130000,85300000
93140000,85320000
93150000,66150000
93160000,79221000
93170000,98120000
94100000,98100000# 98900000
94110000,98131000
94120000,92300000
94130000,98133100# 98350000
95100000,70122000
95110000,45233140
10101500,3322000
10101600,3325000
10101700,3311000
10101800,3312200
10101900,3325000
10102000,3320000
10111300,3140000
10121500,15700000
10121600,15700000
10121700,15700000
10121800,15700000
10121900,15700000
10122000,15700000
10122100,15700000
10131500,77000000
10131600,77000000
10131700,77000000
10141500,18910000
10141600,3140000
10151500,3111700
10151600,03211000# 03111000
10151700,3111000
10151800,3111000
10151900,3111900
10152000,3111000
10152100,3110000
10152200,3111000
10161500,03451300# 03452000
10161600,03121210# 03451000
10161800,3451000
10161900,3121210
10171500,24400000
10171600,24400000
10171700,24453000
10191500,24451000
10191700,24451000
10201500,3100000
10201600,3100000
10201700,3100000
10201800,3100000
10201900,3100000
10202000,3100000
10202100,3100000
10202200,3100000
10202300,3100000
10202400,3100000
10202500,3100000
10202600,3100000
10202700,3100000
10202800,3100000
10211500,3100000
10211600,3100000
10211700,3100000
10211800,3100000
10211900,3100000
10212000,3100000
10212100,3100000
10212200,3100000
10212300,3100000
10212400,3100000
10212500,3100000
10212600,3100000
10212700,3100000
10212800,3100000
10212900,3100000
10213000,3100000
10213100,3100000
10213200,3100000
10213300,3100000
10213400,3100000
10213500,3100000
10213600,3100000
10213700,3100000
10213800,3100000
10213900,3100000
10214000,3100000
10214100,3100000
10214200,3100000
10214300,3100000
10214400,3100000
10214500,3100000
10214600,3100000
10214700,3100000
10214800,3100000
10214900,3100000
10215000,3100000
10215100,3100000
10215200,3100000
10215300,3100000
10215400,3100000
10215500,3100000
10215600,3100000
10215700,3100000
10215800,3100000
10215900,3100000
10216000,3100000
10216100,3100000
10216200,3100000
10216300,3100000
10216400,3100000
10216500,3100000
10216600,3100000
10216700,3100000
10216800,3100000
10216900,3100000
10217000,3100000
10217100,3100000
10217200,3100000
10217300,3100000
10217400,3100000
10217500,3100000
10217600,3100000
10221500,3100000
10221600,3100000
10221700,3100000
10221800,3100000
10221900,3100000
10222000,3100000
10222100,3100000
10222200,3100000
10222300,3100000
10222400,3100000
10222500,3100000
10222600,3100000
10222700,3100000
10222800,3100000
10222900,3100000
10223000,3100000
10223100,3100000
10223200,3100000
10223300,3100000
10223400,3100000
10223500,3100000
10223600,3100000
10223700,3100000
10223800,3100000
10223900,3100000
10224000,3100000
10224100,3100000
10224200,3100000
10224300,3100000
10224400,3100000
10224500,3100000
10224600,3100000
10224700,3100000
10224800,3100000
10224900,3100000
10225000,3100000
10225100,3100000
10225200,3100000
10225300,3100000
10225400,3100000
10225500,3100000
10225600,3100000
10225700,3100000
10225800,3100000
10225900,3100000
10226000,3100000
10226100,3100000
10226200,3100000
10226300,3100000
10226400,3100000
10226500,3100000
10226600,3100000
10226700,3100000
10231500,3100000
10231600,3100000
10231700,3100000
10231800,3100000
10231900,3100000
10232000,3100000
10232100,3100000
10301500,3100000
10301600,3100000
10301700,3100000
10301800,3100000
10301900,3100000
10302000,3100000
10302100,3100000
10302200,3100000
10302300,3100000
10302400,3100000
10302500,3100000
10302600,3100000
10302700,3100000
10302800,3100000
10311500,3100000
10311600,3100000
10311700,3100000
10311800,3100000
10311900,3100000
10312000,3100000
10312100,3100000
10312200,3100000
10312300,3100000
10312400,3100000
10312500,3100000
10312600,3100000
10312700,3100000
10312800,3100000
10312900,3100000
10313000,3100000
10313100,3100000
10313200,3100000
10313300,3100000
10313400,3100000
10313500,3100000
10313600,3100000
10313700,3100000
10313800,3100000
10313900,3100000
10314000,3100000
10314100,3100000
10314200,3100000
10314300,3100000
10314400,3100000
10314500,3100000
10314600,3100000
10314700,3100000
10314800,3100000
10314900,3100000
10315000,3100000
10315100,3100000
10315200,3100000
10315300,3100000
10315400,3100000
10315500,3100000
10315600,3100000
10315700,3100000
10315800,3100000
10315900,3100000
10316000,3100000
10316100,3100000
10316200,3100000
10316300,3100000
10316400,3100000
10316500,3100000
10316600,3100000
10316700,3100000
10316800,3100000
10316900,3100000
10317000,3100000
10317100,3100000
10317200,3100000
10317300,3100000
10317400,3100000
10317500,3100000
10317600,3100000
10321500,3100000
10321600,3100000
10321700,3100000
10321800,3100000
10321900,3100000
10322000,3100000
10322100,3100000
10322200,3100000
10322300,3100000
10322400,3100000
10322500,3100000
10322600,3100000
10322700,3100000
10322800,3100000
10322900,3100000
10323000,3100000
10323100,3100000
10323200,3100000
10323300,3100000
10323400,3100000
10323500,3100000
10323600,3100000
10323700,3100000
10323800,3100000
10323900,3100000
10324000,3100000
10324100,3100000
10324200,3100000
10324300,3100000
10324400,3100000
10324500,3100000
10324600,3100000
10324700,3100000
10324800,3100000
10324900,3100000
10325000,3100000
10325100,3100000
10325200,3100000
10325300,3100000
10325400,3100000
10325500,3100000
10325600,3100000
10325700,3100000
10325800,3100000
10325900,3100000
10326000,3100000
10326100,3100000
10326200,3100000
10326300,3100000
10326400,3100000
10326500,3100000
10326600,3100000
10326700,3100000
10331500,3100000
10331600,3100000
10331700,3100000
10331800,3100000
10331900,3100000
10332000,3100000
10332100,3100000
10341500,3100000
10341600,3100000
10341700,3100000
10341800,3100000
10341900,3100000
10342000,3100000
10342100,3100000
10342200,3100000
10401500,3100000
10401600,3100000
10401700,3100000
10401800,3100000
10401900,3100000
10402000,3100000
10402100,3100000
10402200,3100000
10402300,3100000
10402400,3100000
10402500,3100000
10402600,3100000
10402700,3100000
10402800,3100000
10411500,3100000
10411600,3100000
10411700,3100000
10411800,3100000
10411900,3100000
10412000,3100000
10412100,3100000
10412200,3100000
10412300,3100000
10412400,3100000
10412500,3100000
10412600,3100000
10412700,3100000
10412800,3100000
10412900,3100000
10413000,3100000
10413100,3100000
10413200,3100000
10413300,3100000
10413400,3100000
10413500,3100000
10413600,3100000
10413700,3100000
10413800,3100000
