Type of procedure actual,Type of Procedure
™ffentliche Ausschreibung,Competitive tendering
Verhandlungsverfahren,Negotiated procedure
Verhandlungsvergabe,Negotiated procedure
Auftragsvergabe ohne vorherige Bekanntmachung eines Aufrufs zum Wettbewerb im Amtsblatt der Europischen Union,Negotiated without prior call for competition
Offenes Verfahren,Open
Beschrnkte Ausschreibung,Restricted
