Type of procedure actual,Type of Procedure
Freihändige Vergabe,Direct award
Verhandlungsvergabe ohne Teilnahmewettbewerb,Negotiated without prior call for competition
Beschränkte Ausschreibung,Restricted
Offenes Verfahren,Open
