Type of procedure actual,Type of Procedure
Competitive procedure with negotiation,Competitive tendering
Adapted procedure,Negotiated procedure
Negotiated procedure with prior call for competition,Negotiated with prior publication of a call for competition /   competitive with negotiation
Open call for tenders,Open
Others,Other
Restricted competition,Restricted
