keywords,cpv
safety hygiene labor,85142300#71317200
information technology,48000000#72000000
maintenance services,50000000
chemicals and related products,24000000
consulting services,71300000#71800000
mechanical,45350000#71333000
electric - automation,38000000#31000000
others,39300000#98300000
