Category,Mapped CPV
construction,45000000
communication & marketing,79413000
miscellaneous,39300000#98300000
breeding,77000000
rolling machine,42932100
equipment supply,39300000
accommodation & catering,55520000#55000000
it & development,72000000
stationery store,30192700
artistic performances,92312000
networks,32400000
security,35121000#79710000
socio-community,98000000
logistic transport,60000000#63000000
