Type of procedure actual,Type of Procedure
Negotiated procedure without prior publication (with publication in the Free Market),Negotiated without prior call for competition
Simplified negotiated procedure with publicity,Negotiated procedure
Open procedure,Open
Competitive procedure with negotiation,Competitive tendering
Simplified negotiated procedure with publicity,Other
Award of a contract without prior publication of a contract notice,Direct award
