Type of procedure actual,Type of Procedure
Negotiated procedure with participation competition (EU),Negotiated with prior publication of a call for competition /   competitive with negotiation
Open procedure (EU),Open
Public announcement,Open
negotiated award,negotiated award
Restricted Procedure,Restricted Procedure
"Notice of awarded contracts (national), Direct award ",Direct award 
negotiation procedure without participation competition ,negotiation procedure without participation competition 
free hand allocation,Direct award 
