Type of procedure actual,Type of Procedure
Adapted procedure,Other
Open tender,Open
Negotiated market,Negotiated procedure
Other procedures,Other
Restricted tender,Restricted
competitive dialogue,Other 
Restricted competition,Restricted
Other Traded Markets,Other 
Design-build,Other 
