Type of procedure actual,Type of Procedure
AFFIDAMENTO DIRETTO /AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE 381/91,Direct award
PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,Negotiated without prior call for competition
