Type of procedure actual,Type of Procedure
Negotiation procedure with OT,Negotiated with prior publication of a call for competition /   competitive with negotiation
Negotiated procedure without OT,Negotiated without prior call for competition
open procedure,Open
open procedure,Other
Restricted procedure without OT,Restricted
