Type of procedure actual,Type of Procedure
05-DIALOGO COMPETITIVO,Competitive dialogue 
37-PROCEDURA COMPETITIVA CON NEGOZIAZIONE,Competitive tendering
17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE 381/91 / 23-AFFIDAMENTO DIRETTO / 24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE / 25-AFFIDAMENTO DIRETTO A SOCIETA' RAGGRUPPATE/CONSORZIATE O CONTROLLATE NELLE CONCESSIONI E NEI PARTENARIATI / 26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE / 31-AFFIDAMENTO DIRETTO PER VARIANTE SUPERIORE AL 20% DELL'IMPORTO CONTRATTUALE / 36-AFFIDAMENTO DIRETTO PER LAVORI SERVIZI O FORNITURE SUPPLEMENTARI / 39-AFFIDAMENTO DIRETTO PER MODIFICHE CONTRATTUALI O VARIANTI PER LE QUALI È NECESSARIA UNA NUOVA PROCEDURA DI AFFIDAMENTO,Direct award
33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,Negotiated procedure
03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,Negotiated with prior publication of a call for competition /   competitive with negotiation
04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE / 06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI) / 22-PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),Negotiated without prior call for competition
01-PROCEDURA APERTA,Open
"07-SISTEMA DINAMICO DI ACQUISIZIONE / 08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO / 14-PROCEDURA SELETTIVA EX ART 238 C.7 D.LGS. 163/2006 / 27-CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE / 28-PROCEDURA AI SENSI DEI REGOLAMENTI DEGLI ORGANI COSTITUZIONALI / 32-AFFIDAMENTO RISERVATO"">32-AFFIDAMENTO RISERVATO / 34-PROCEDURA ART.16 COMMA 2-BIS DPR 380/2001 PER OPERE URBANIZZAZIONE A SCOMPUTO PRIMARIE SOTTO SOGLIA COMUNITARIA / 38-PROCEDURA DISCIPLINATA DA REGOLAMENTO INTERNO PER SETTORI SPECIALI",Other
02-PROCEDURA RISTRETTA / 21-PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA / 29-PROCEDURA RISTRETTA SEMPLIFICATA / 30-PROCEDURA DERIVANTE DA LEGGE REGIONALE,Restricted
