Type of procedure actual,Type of Procedure
Negotiated procedure with participation competition,Negotiated with prior publication of a call for competition /   competitive with negotiation
Open procedure,Open
Public announcement,Open
negotiated award,negotiated award
Restricted Procedure,Restricted Procedure








