Type of procedure actual,Type of Procedure
Electronic auction ,Other
Request for price proposals ,Other
Open competition (electronic),Open
Two-stage competition (first stage),Other
Two-stage competition (second stage),Other
Single source purchasing,Other
Limited Participation Competition,Other
Purchasing from a single source (electronic),Other
Another type of procurement procedure,Other
