Type of procedure actual,Type of Procedure
Contract notice Open procedure,Open
Negotiated award with public participation competition,Negotiated award with public participation competition
Participation competition below the European thresholds,Open
Public announcement,Open
Public tender (service),Open
Contract notice - sectors negotiated procedure,Open
Restricted tender with public participation competition,Restricted
