Type of procedure actual,Type of Procedure
Non-European procedures,Other
EU - Open Procedure,Open
EU - Restricted Procedure,Restricted
EU - Accelerated Restricted Procedure,Restricted
EU - Negotiated Procedure,Negotiated Procedure
EU - Accelerated Negotiated Procedure,Negotiated Procedure
EU - Competitive dialogue,Competitive dialogue
EU - Restricted Procedure (Part B),Restricted
Other,Other
