Description,CPV
Polycarbonate resin,24327400
Polyetheretherketone resin,24327400
Polyetherimide resin,24327400
Polyethersulfone resin,24327400
Polyethylene,24327400
Polyethylene terpthalate resin,24327400
Polyimide resin,24327400
Polypropylene resin,24327400
Polyphthalamide resin,24327400
Polyethylene oxide,24000000
Polyphenylene sulfide resin,24327400
Polystyrene resin,24327400
Polysulfone resin,24327400
Polyvinyl chloride resin,24327400
Styrene acrylonitrile resin,24327400
Urea formaldehyde,24327400
Alkyd,24327400
Melamine formaldehyde,24327400
Polyacetal,24327400
Polyamide,24327400
Allyl,24327400
Ethylene acrylic acid,24327400
Polyvinyl chloride compound,24327400
Solution vinyl,24327400
Phenoxy,24327400
Compounded resin,24327400
Polyvinyl pyrolidine,24000000
Polyethylene terephthalate or glycol modified,24000000
Hydrocarbon tackifier,24000000
Polycarbonate blends,24000000
Polyvinyl alcohol,24000000
Polyvinyl butyral,24000000
Polyester molding compound,24000000
Polyvinyl acetate,24000000
Polyvinyl ether,24000000
Polyvinyl formal,24000000
Styrene acrylic,24000000
Ethylene propylene polymers,24000000
Polypropylene oxide,24000000
Polypropylene ether,24000000
Polypropylene sulfone,24000000
Polymethylacrylate,24000000
Styrene maleic anhydride,24000000
Syndiotatic polystyrene,24000000
Chlorinated polyvinyl chloride,24000000
Thermoplastic polyester,24550000
Indene resins,24327400
Plastic resins,24327400
Petroleum resins,24327400
Polyurethane resins,24327400
Polyether resins,24327400
Recycled resins,24327400
Acrylic resins,24327400
Cellulosic resins,24327400
Polyterpene resins,24327400
Ethylene Vinyl Alcohol,24327400
Linear Low Density Polyethylene,24327400
Polyacrylonitrile resin,24327400
Polyamideimide resin,24327400
Polyaryletherketone resin,24327400
Polybenzimidazole resin,24327400
Polymethylpentene resin,24327400
Polyvinylidene Fluoride,24327400
Polycarbonate acrylonitrile butadiene styrene alloy PC ABS,24327400
Cross linked polyethylene PEX ,24327400
Polyamide 6-12,24000000
Polyamide 6-6,24000000
Polyamide 4-6,24000000
Polyamide high temperature nylon HTN,24000000
Polyamide 12,24000000
Polyamide 6,24000000
Wood rosin,24000000
Gum rosin,24000000
Tall oil rosin,24000000
Polyethylene films,32354300
Polyurethane films,24510000#19521000
Acetate films,32354200
Acrylic films,32354200
Coextruded films,32354200
Flouropolymer films,32354200
Metalized films,32354200
Nylon films,32354200
Polycarbonate films,32354200
Polyester films,32354200
Polypropylene films,32354200
Biaxially orientated polypropylene,32354200
Polymide films,32354200
Polystyrene films,32354200
Flexible polyvinyl chloride film,32354200
Rigid polyvinyl chloride film,32354200
Ethylene vinyl alcohol film,32354200
Polyvinylidene chloride,24300000
Polyvinyl alcohol films,24300000
Silicone coated films,44176000
Polyolefin foam,35111310#44192100
Polyether foam,35111310#44192100
Silicone foam,35111310#44192100
Ethylene propylene terpolymer foam,35111310#44192100
Neoprene foam,35111310#44192100
Polyvinyl chloride foam,35111310#44192100
Rubber foam,35111310#44192100
Polystyrene foam,35111310#44192100
Paper pulp,03461000
Onion skin paper,37823400
Vellum paper,37823200
Parchment paper,37823800
Tractor feed paper,30199310
Mimeograph paper,30199140
Computer printout paper,30199330
Printer or copier paper,30197643
Facsimile paper,30197643
Stationery,30192700#30199700 
Plotter paper,30199330#30197630 
Writing paper,30197620
Graph paper,30197620
Ledger paper,30197620
Paper pads or notebooks,22816100#22815000 
Calculator or cash register paper,22813000
Notebook filler paper,22992000
Index cards,30191000
Cardstock papers,30191000
Blotter paper,30192000
Tracing paper,37823200
Foolscap sheets,22992000
Multipurpose paper,22992000
Telephone message pads or books,30199000
Carbonless paper,30199130
Magnet paper,30199000
Telex rolls,30199000
Self adhesive note paper,30199410
Log books or pads,22110000
Assorted paper kits,30199000
Examination booklets or forms,22160000
Music score or manuscript papers,30192700
Telegraph papers,30192700
Library book or borrowers cards,30192700
Label papers,30192700
Digital paper,22800000
Medical monitoring or tracing or recording paper,33140000#33160000
Gift wrapping paper or bags or boxes,30199000
Business cards,30199730
Greeting or note or post cards,22312000#22321000 
Art or craft paper,37823500
Poster boards,30195000
Gift certificate,39298000
Cover paper,22992000
Construction paper,22992000
Invitation or announcement cards,30197645
Banner paper,22992000
Album papers or tissues,30192700
Poster papers,30192700
Lining papers,33651640
Leathack paper,09123000
Facial tissues,33772000
Toilet seat covers,44411710
Paper towels,33763000
Toilet tissue,33772000
Paper napkins or serviettes,39514100
Paper table cloth,39513100
Tickets or ticket rolls,22459000
Receipts or receipt books,22814000
Vouchers,30199750
Bills or bill books,22814000
Checks or check books,22813000
Business forms or questionnaires,22822000
Multipurpose business book,22110000
Accounting forms or accounting books,22813000
Bill of lading forms or bill of lading books,22814000
Personnel forms or personnel books,22817000
Sales forms or sales books,22820000
Inventory forms or inventory books,22822000
Correspondence forms or correspondence books,22822000
Tax forms or tax books,22822000
Tent cards,30192000
Applicant fingerprint cards,35125110
Deposit verification form,34150000#38311210
Thermal paper,39713210
Booking forms or reservation books,22820000
Game of chance forms or coupons,22820000
Order forms or order books,22820000
Delivery forms or delivery books,34140000
Control forms or control books,15864100# 2280000
Pharmacy prescription pad,33140000#33160000
Menu,15881000
Birth certificate,22400000
Death certificate,22400000
Bleached paperboard,30192000
Unbleached paperboard,30192000
Cardboard,30192000
Packaging paper,30199000
Fiberboards,30192700
Unbleached crepe papers,30192000
Semi bleached crepe papers,30192000
Wet strength tissue papers,30192000
Acid free tissue papers,30192000
Kraft tissue paper,30191000
Papers bonded with film,30192000
Cylinder papers or multi layer heavyweight paper,30192000
Clay coated papers,30192000
Polyethylene coated papers,30192000
Polyester coated papers,30192000
Silicone coated papers,30192000
Latex treated coated paper,30192000
Waxed paper,30192000
Butcher papers,22991000#22992000 
Freezer paper,30192000
Masking paper,37823500
Carbon papers,30199110
Sensitized copying papers,30192700
Photography paper,30197600
Standard newsprint,22991000
Colored newsprint,30192000
High brightness newsprint,30192000
Offset paper,30192000
Tympan papers,30192700
Super calendared kraft paper,30191000
Machine finished or glazed kraft paper,30191000
Non treated uncoated paper,30192000
Non treated crepe paper,30192000
Latex treated crepe paper,30192000
Latex treated uncoated paper,30192000
Seed germinating papers,30192700
Tea bag paper,22800000
Kerosene,09134000
Naphtha,09112200
Aviation fuel,09131100
Diesel fuel,09134200
Gasoline or Petrol,09132000#09134100 
Benzene,24321221
Crude oil,09230000
Marine fuel,09132000
Condensate,38430000
Ethanol,24322220
Coal,09111100
Lignite,09112100
Peat,09112200
Coke,09113000
Charcoal,24327200
Jellied alcohol fuels,09100000
Hexamines,24000000
Trioxanes,24000000
Briquette,09111200
Coconut shell charcoal,24327200
#2 Heating fuel oil,09135000
#4 or #6 Residual heavy fuel oils,09135000
Propane,09122100
Methane,09122000
Propylene,09122000
Ethylene,09122000
Butane,09122200
Acetylene,24321115
Water gas or producer gas,09121100
Coal gas,09121100
Methylacetylene propadiene MAPP gas,33169300#33190000
Liquified petroleum gas,18925000
Liquefied natural gas LNG,39515100
Fuel thickeners,09100000
Icing inhibitors for fuel systems,09100000
Engine oil,09211100
Cutting oil,09200000
Gear oil,09211400
Hydraulic oil,09211600
Transformer oil,09200000
Transmission oil,09211000
Brake oil,09200000
Antigalling,44000000
Assembly pastes,24000000
Anti adhesives,24911200
Graphite lubricants,24951100
Spray lubricants,24951100
Anti seize or anti stain compounds,24000000
Leak stop,24000000
Lubricating soaps,09211000#24951100
Damping fluids,24951000
Watch lubricating oils,09211000
General purpose lubricants,24951100
Pump lubricating oils,09211000
Weapon lubricating oils,09211000
Lens preparation fluids,09200000
Tempering oils,09000000
Quenching oils,09000000
Lubricants for food processing equipment,24951100
Turbine oil,09000000
Fire resistant hydraulic fluid,24951300
Moisture repellent,24000000
Anti corrosion lubricant,24951100
Rust remover,09000000#24000000
Rust proofing preparation,09000000#24000000
Anti weld pastes,09000000#24000000
Penetrating oils,09000000#24000000
Antifreeze,24300000
Silicone grease,24951120
Grease,24951000
Fluoropolymer grease,24951000
Wool grease,24951000
Thermal grease,24951000
Depleted uranium,09341000
Enriched uranium,09341000
Iridium,09341000
Enriched plutonium,09342000
Depleted plutonium,09342000
Nuclear fuel rod,09341000
Continuous mining equipment,43100000
Longwall shears,43122000
Coal cutters,43120000
Rock cutters,43120000
Cutter chain for mining,43100000
Cutter bar,43100000
Screens,32351200
Feeders,42000000
Drain hole screen,43324000
Gearmotors,42140000
Apron feeder,42000000
Weigh belt feeder,42000000
Electromagnetic vibro feeder,42000000
Electromechanical vibro feeder,42000000
Rock crushers,43120000
Roll crushers,42932100#43000000
Cone crushers,43000000
Gyratory crushers,43000000
Impact crushers,43000000
Jaw crushers,43000000
Crushing plants,43000000
Rod mills,43000000
Ball mills,43414100
Pulverizing machinery,43414100
Rock breakers,43120000
Earth grinders,43414000
Cyclone or vortex grinders,43414000
Jaw plates,42000000
Crusher bit,38000000
Crusher hammer,44512300
Cable bolters,43000000#42000000
Scissor bolters,43000000#42000000
Boom bolters,43000000#42000000
Shotcrete spraying equipment,42924300
Mechanized ground support system spare parts or accessories,42000000
Commutators,42000000
Blockholer or drill and load systems,42000000
Repetitive impact systems,33000000
Secondary rock breaking system spare parts or accessories,43120000
In the hole drills ITH or down the hole DTH long hole drills,43000000
Top hammer long hole drills,43000000
Pneumatic shaft sinking jumbos,43125000
Hydraulic shaft sinking jumbos,43125000
Pneumatic horizontal development jumbos,43125000
Hydraulic horizontal development jumbos,43125000
Core drills,43000000
Exploration or development system spare parts or accessories,43000000
Pneumatic rock drills,43000000
Hydraulic rock drills,43000000
Hand held rock drills,43000000
Rock drill spare parts or accessories,43000000
Steel drill rod,44332000
Vacuum drill rod,44332000
Ammonium nitrate and fuel oil ANFO loading machinery,42418900
Emulsion loading machinery,42418900
Explosive loading machinery spare parts or accessories,42418900
Personnel carriers,34144750
Crane vehicles,42414410
Flat deck material carriers,42414410
Bulk material carriers,42414410
Utility service vehicles,34144700
Elevating platform vehicles or scissor lifts,34142100
Underground mining service vehicle spare parts or accessories,43261100
Water well drilling equipment,43121000
Uranium exploration equipment,43136000#43124900 
Boring or sinking machinery,43125000
Downhole assembly machinery,43136000
Hammer drills,43132300
Crawler drills,43132300
Pneumatic vibrators,42000000
Tunneling machinery,42000000
Striking hammers,44512300
Sinker drills,43132300
Sewer inspection machinery,38000000
Rotary drills,43132300
Drilling rigs,34514300
Long hole drills,43132300
Industrial drill bits,43130000
Drifters,43130000
Derricks,42000000
Drilling carriages,43130000
Downhole fishing poles,43136000
Well drilling bit cones,43000000
Audio visual instruments for well inspection,38000000
Packers or tubing anchors,34913800
Drilling casings,43130000
Drilling screens,43130000
Well points,45000000
Drilling wedges,43130000
Drilling tool adapters,43130000
Drill stems,43130000
Well drilling tool or accessory kits,43130000
Thru tubing packer repair kit,44164200
Thru tubing parts and accessories,44164200
Wash pipe,42716110
Drilling fingerboard,43000000
Coiled tubing connector,44164200
Well site pit liner,43130000
Acidizing blending units,42000000
Acidizing density sensors,42000000
Acidizing pumping units,42000000
Acidizing units,42000000
Acidizing air piping,42000000
Acidizing ball injectors,42000000
Bulk liquid acid equipment,42000000
Acidizing drop boxes,42000000
Acidizing flow meters,42000000
Acidizing junction boxes,42000000
Acidizing pressure sensors,42000000
Acidizing process piping,42000000
Acidizing straight joints,42000000
Acidizing swivels,42000000
Acidizing treating irons,42000000
Acidizing tree savers,42000000
Blending units,42000000
Bridge plugs,42000000
Bulk liquid cement equipment,42912100#42000000
Cement bulk material equipment,42000000
Cement density sensors,42000000
Cement floating bulk units,42000000
Cement floating equipment stage tools,42000000
Cement floating equipment wiper plugs,42000000
Cement pumping units,42000000
Cement retainers,42000000
Centralizers,42000000
Express latch couplers,42000000
Float collars,44000000
Float shoes,18000000
Oilfield cementing tools,42000000
Retrievable cementing packers,42000000
Subsea cement heads,42000000
Surface cement heads,42000000
Bow spring centralizer ,42000000
Blade centralizer,42000000
Bow spring centralizer sub,42000000
Cementing stage tool kit,42000000
Cementing float equipment kit,42000000
Cement retainer kit,42000000
Centralizer parts and accessories,42000000
Landing collar,42000000
Torque and drag reduction tool,42000000
Torque and drag reduction tool parts and accessories,42000000
Bridge plug parts and accessories,42000000
Bulk liquid fracturing equipment,42000000
Fracturing bulk proppant equipment,42000000
Fracturing control units,42000000
Fracturing density sensors,42000000
Fracturing manifold units,42000000
Fracturing proppant conveying equipment,42000000
Fracturing pumping units,42000000
Fracturing slurry blending units,42000000
Gel blending units,42000000
Fracturing missiles,42000000
Pump integrity monitors,42000000
Fracturing service packers,42000000
Stimulation pumping units,42000000
Blanking plugs,42000000
Floaters,42000000
Frac pack systems,42000000#43412000
Gravel pack systems,42000000
Guide shoes,42000000
Hook up nipples,42000000
Make up subs,33711420
Production tubing overshots,44164200
Sand control blanks,43811000
Sand control bulk liquid equipment,43811000
Sand control bulk proppant equipment,43811000
Sand control density sensors,43811000
Sand control manifold units,43811000
Sand control proppant conveying equipment,43811000
Sand control pumping units,43811000
Sand control screens,43811000
Sand control slurry blending units,43811000
Sand detectors,43811000
Seal assembly locators,44000000
Shear joints,44000000
Sleeve shifting tools,44165300
Sliding sleeves,44165300
Velocity strings,44000000
Sand control ring,42000000#44000000
Slotted pipe pattern,42000000#44000000
Sand control screen parts and accessories,42000000#44000000
Ball catcher subs,42000000#44000000
Blast joints,42000000#44000000
Blast nipples,42000000#44000000
Completion bull plugs,42000000#44000000
Circulation production devices,42000000
Completion test equipment,42000000
Control line protectors,42000000
Deflection tools,44000000
Completion expansion joints,44167100
Flow couplings,44167100
Gas lift equipment,42400000
Hanger landing tools,42000000
Completion hydraulic pumps,42000000
Hydraulic setting tools,42000000
Injection systems,42000000
Landing nipples,44000000
Liner hangers,43132500
Packer pulling tools,43000000
Packer running tools,43000000
Production packers,43000000
Pump down through flow line equipment,42000000
Completion safety joints,42000000#44000000
Completion seal assemblies,43000000
Seal bores or polished bores,43000000
Side pocket mandrels,42000000#43000000
Subsurface safety valves,42000000
Travel joints,44000000
Tubing anchors,42000000
Twin flow assemblies,42000000
Inflatable packer,42000000
Downhole control valve parts and accessories,42000000
Cased hole completion repair kit ,42000000
Sliding sleeve repair kit,42000000
Setting adapter kit,42000000
Plunger lift system parts and accessories,42000000
Subsurface safety valve parts and accessories,42000000
Gas lift valve parts and accessories,42000000
Production packer mandrel,42000000
Annulus casing packer sub,42000000
Liner setting tool,42000000
Drag block,42000000
Liner packer setting tool kit,43000000
Liner system repair kit,43000000
Production packer parts and accessories,43000000
Liner top packer,43000000
Liner setting collar,42000000
Junk bonnet,42000000
Plunger lift equipment,42410000
Gas lift mandrel,42000000
Gas lift valve,42000000
Blowout preventers,42000000
Blowout preventer controls,42000000
Casing scrapers,42113120#43612100
Drill collars,44167200
Coring equipment,42000000
Drill pipe thread protectors,44000000
Drill pipe tool joints,44000000
Drill pipe,44000000
Gauge rings,44000000
Hole openers,42000000
Hole reamers,42000000
Downhole shock absorbers,43136000
Downhole stabilizers,43136000
Drilling subs,43130000
Thrusters,43000000
Wellbore hole reamer parts and accessories,42000000
Rotating control head,42000000
Rotating control head parts and accessories,42000000
Blowout preventer parts and accessories,42000000
Downhole shock absorber parts and accessories,42000000
Casing scraper parts and accessories,42113120
Drilling jar,43130000
Drilling jar parts and accessories,43130000
Fixed cutter drill bits,43000000
Natural diamond drill bits,43000000
Nozzle drill bits,43000000
PDC bits,43000000
Roller cone button insert drill bits,43000000
Roller steel tooth drill bits,43000000
Core bits,43000000
Bit block,43000000
Continuous mining bit,43100000
Feeder bit,42000000
Longwall bit,42000000
Roof drill bit,42000000
Drill bit accessories,42000000
Bumper subs,42000000
Casing patches,42000000
Jar boosters,42000000
Junk subs,42000000
Mills or burning shoes,42000000
Overshots,42000000
Oilfield fishing spears,42000000
Unspecified fishing tools,42000000
Fishing wash pipe and extension,42000000
Overshot extension,42000000
Fishing sub,34000000
Casing patch parts and accessories,42000000
Wash pipe drive bushing,42000000
Fishing impression block,34513000
Wireline system fishing kit,34513000
Junk basket parts and accessories,42000000
Overshot grapple,34513000
Overshot control,34513000
Overshot packer,34513000
Overshot parts and accessories,34513000
Fishing magnet,34513000
Taper tap,44411100
Fishing spear grapple,34513000
Fishing spear parts and accessories,34513000
Casing cutter,43000000
Box tap,42000000
Junk basket,34513000
Fishing jar,34513000
Geosteering tools,34000000
Mud motors,42111000
Rotary steerable tools,42000000
Directional drilling surface control systems,42000000
Straight hole directional drilling tools,42000000
Logging while drilling tools LWD,42000000
Logging while drilling tools LWD parts and accessories,42000000
Directional drilling stabilizer,42000000
Rotary steerable tools parts and accessories,42000000
Directional drilling sub,42000000
Directional drilling thruster,42000000
Directional drilling drill collar,42000000
Mud motor parts and accessories,42000000
Acoustic tools,42111000
Drilling or mud control instruments,43130000
Drilling performance measurement tools,43000000
Flow measurement equipment,38000000
Nuclear magnetic resonance tools,33113110
Nuclear tools,42000000
Production logging equipment,42000000
Resistivity tools,31711131
Surveying systems,38296000
Telemetry systems,32441000#38291000
Ultrasonic tools,33112200
Well logging bottom hole pressure equipment,38423000
Well logging downhole test equipment,43000000
Well logging units,43000000
Bulk density log,38000000
Optical sensing downhole cable,32000000#31000000
Optical sensing mandrel and accessories,32000000#31000000
Optical sensing surface cable,32000000#31000000
Casing inspection tool and accessories,38000000
Freepoint indicator tool and accessories,38000000
Radiation survey meter,38341000#38000000
Gamma ray tool parts and accessories,38000000
Well imaging tool and parts,43000000
Drift bars,34000000
Drift sleeves,34000000
Drift rabbits,34000000
Test fixtures,38000000
Test nipples,44000000
Test plugs,44000000
Capsule guns,35312000
Casing guns,35312000
Deployment heads,48000000
Perforating explosives,35000000#24600000
Firing heads,35000000
Gun adapters,35000000
High shot density guns,35000000
Perforating bull plugs,44000000
Plug setting tools,44000000
Perforating positioning equipment,38000000
Scalloped guns,35000000
Tandem subs,44000000
Through tubing perforation gun accessories,44164200
Through tubing perforation guns,44164200
Under balance vent subs,32000000
Flare booms,43000000
Flare burners,42000000
Cased hole test tools,43000000
Choke manifolds,42131320
Diverting manifolds,42000000
Flowhead baskets,42000000
Flowhead swivels,42000000
Flowheads,42000000
Formation shut in tools,42000000
Gas flares,76000000
Mud gas analyzers,42000000
Oil samplers,42000000
Well testing separators,43121500
Well testing surface piping,43121500
Surge tanks,44611000
Well testing downhole tools,43121500
Slickline adapter heads,42000000
Slickline backoffs,42000000
Slickline bell guides,42000000
Slickline blind boxes,42000000
Slickline bottom hole pressure equipment,42000000
Slickline caliper tools,42000000
Slickline cement dump bailing equipment,42000000
Slickline chemical cutters,42000000
Slickline clamp on tool string centralizers,42000000
Slickline clamp on wireline centralizers,42000000
Slickline collar locators,42000000
Slickline collectors,42000000
Slickline colliding tools,42000000
Slickline crossovers,42000000
Slickline depth measurement equipment,42000000
Slickline dewar flasks,42000000
Slickline dipmeter tools,42000000
Slickline directional tools,42000000
Slickline go devil tools,42000000
Slickline hole punchers,42000000
Slickline jet cutters,42000000
Slickline junk shots,42000000
Slickline kickover tools,42000000
Slickline knuckle joints,42000000
Slickline lead impression blocks,42000000
Slickline locator mandrels,42000000
Slickline lock mandrels,42000000
Slickline lubricators,42000000
Slickline mechanical bailers,42000000
Slickline mechanical plugbacks,42000000
Other Slickline Tools,42000000
Slickline paraffin scrappers,42000000
Slickline rope sockets,42000000
Slickline running or pulling prongs,42000000
Slickline severing tools,42000000
Slickline sheaves or floor blocks,42000000
Slickline pulling tool accessories,42000000
Slickline pulling tools,42000000
Slickline running tools,42000000
Slickline units,42000000
Slickline wire,42000000
Slickline sonic tools,42000000
Slickline spacer bars,42000000
Slickline swages,42000000
Slickline tension devices,42000000
Slickline tubing plugs,42000000
Slickline ultrasonic tools,42000000
Wireline grabs,42000000
Wireline jars,42000000
Wireline scrapers,42000000
Wireline spear,42000000
Wireline stems,42000000
Wireline valves,42000000
Wireline preventers,42000000
Wireline jar accelerators,42000000
Test dart,42000000
Slickline running tool parts and accessories,42000000
Wireline broach ,42000000
Standing valve,42000000
Wireline bell guide,42000000
Wire finder,42000000
Wireline tool string,42000000
Slickline centralizer parts and accessories,42000000
Magnetic decentralizer,42000000
Wireline pulling tool,42000000
Wireline mandrel,42000000
Wireline setting tool,42000000
Wireline crossover,42000000
Slickline centralizer,42000000
Wireline swivel joint,42000000
Slickline kickover tool parts and accessories,42000000
Cable thumpers,38431300
Oilfield production evaporators,38000000
Hipot testers,38000000
Oilfield lapping machines,42000000
Motor end lifts,42000000
Oil dielectric testers,38000000
Oil vacuum filling units,42000000
Oilfield production shaft straighteners,42000000
Oilfield production spoolers,42000000
Vibration analyzers,38000000
Blaster tools,42000000
Coiled tubing truck crane units,42000000
Coiled tubing units,42000000
Coiled tubing hose packages,42000000
Coiled tubing inflatable systems,42000000
Coiled tubing injector heads,42000000
Coiled tubing lifting equipment,42000000
Operator houses,42000000
Coiled tubing power packs,42000000
Coiled tubing reels,42000000
Coiled tubing spooling reels,42000000
Tubing guides,44164200
Wellhead hookups,43612700
Wellhead support structures,43612700
Oilfield coiled tubing,44000000
Coiled tubing tool string,44000000
Coiled tubing centralizer,44000000
Seismic analog sensors,38000000
Seismic arrays,38000000
Seismic streamer cable birds,38000000
Seismic drill tankers,38000000
Seismic geophones,38000000
Seismic gravity systems,38000000
Seismic gun winch systems,38000000
Seismic hydrophones,38000000
Seismic impulse sources,38000000
Seismic marine streamer cables,38000000
Seismic ocean bottom cables,38000000
Seismic magnetic systems,38000000
Seismic positioning equipment,38000000
Seismic rams,38000000
Seismic receivers,38000000
Seismic refraction systems,38000000
Seismic source controllers,38000000
Seismic spooling devices,38000000
Seismic tow blocks,38000000
Seismic tow points,38000000
Seismic vibrators,38000000
Seismic recording systems,38000000
Seismic data processing systems,38000000
Oil country casing,44164100
Oil country couplings,44167100
Oil country pup joints,44000000
Oil country tubing,44000000
Oil country pipe coatings,44000000
Conductor casing,44164100
Conductor casing running equipment,44164100
Drill pipe crossovers,44000000
Oil country thread protectors,44000000
Casing stop device,43000000
Mud agitators,42000000#43000000
Mud tanks,43000000#44000000
Air drilling equipment,43130000
Barge rigs,34000000
Fluid diverters,42000000
Drawworks,42000000
Drill floor equipment,43130000
Drill swivels,43130000
Drilling rig ships,43130000
Drill rig elevators,43130000
Drill rig bails,43130000
Hydraulic workover units,43328100
Drill rig jacking systems,43612800
Jackup marine drilling rigs,34000000
Kelly bushings,42000000
Kelly valves,42000000
Kelly wipers,42000000
Kellys,42000000
Land drilling rigs,43000000
Mud cleaning equipment,42000000
Mud manifolds,42000000
Mud mixers,42000000#43000000
Pipe handling equipment,42410000
Platform drilling rigs,34514300
Power swivel or top drives,42000000
Rig skids,42000000
Drill rig risers,34000000
Drill rig rotary tables,43000000
Self elevating workover platforms,34000000
Semi submersible drilling rigs,34514600
Drill floor slips,43000000
Makeup tongs,42000000
Iron roughnecks,43000000
Traveling equipment,39000000
Workover boats,34520000
Workover rigs,34510000
Shale shakers,42000000
Mud degassers,42900000
Crown blocks,44111600
Traveling blocks,44111600
Mud desanders,42900000
Mud dessilters,42900000
Power tongs,42000000
Pipe handling equipment parts and accessories,42410000
Stabbing board,44000000
Lift sub and plug,42000000
Horizontal makeup device or bucking unit parts and accessories,42000000
Well casing spider,43000000
Hydraulic power unit,43000000
Surface data logging conduits,43000000
Surface data logging sensors,43000000
Surface data logging units,43000000
Multilateral casing,43000000
Multilateral junctions,43000000
Multilateral packers,43000000
Multilateral packer parts and accessories,42000000
Casing exit setting tool,43000000
Casing exit whipstock,43000000
Slotted expandable setting tool,42000000
Expandable sand screen hanger repair kit,43000000
Expandable liner,43000000
Drill shoe,18000000
Drill shoe parts and accessories,18000000
Drilling spear,43130000
Drilling spear parts and accessories,43130000
Filtration control agents,24000000
Fluid spacers,42000000
Lost circulation agents,24000000
Oil based muds,24951110
Rate of penetration enhancers,24000000
Spotting fluids,24000000
Synthetic based muds,24951130
Mud thinning agents,24000000
Water based muds,24950000
Mud weighting agents,24000000
Ceramic proppants,44111300
Fracturing sands,14213000
Resin coated ceramic proppants,44111300
Resin coated fracturing sands,14213000
Resin coated sintered bauxites,14213000
Sintered bauxites,14213000
Divalent brines,14000000
Monovalent brines,14000000
Oil well bulk cement,44111200
Oil well class a type I cement,44111200
Oil well class b type II cement,44111200
Oil well class c cement,44111200
Oil well class g cement,44111200
Oil well class h cement,44111200
Oil well lightweight cement,44111200
Oil well standard fine type III cement,44111200
Wellhead actuators,42000000
Wellhead beam pumps,43612400#42000000
Wellhead flow lines,42000000
Wellhead gate valves,42000000
Wellhead production chokes,42000000
Wellhead sub surface flow or christmas trees,43612400
Wellhead surface flow or christmas trees,43612400
Wellhead surface safety valves,42000000
Tubing head adapter,43612700
Casing head housing,44164100
Tubing head spool,44164200
Casing head spool,44164100
Wellhead tees or crosses,43612700
Wellhead landing base,43612700
Wellhead carrier body,43612700
Wellhead hanger,43612700
Paraffin injection systems,42000000
Production desanding equipment,42000000
Downhole jet pumps,42122000
Downhole jet pump parts and accessories,42122000
Drill tubing,43000000#44164000
Tubing stops,42122000
Electric downhole pumps,42122000
Pneumatic export pumps,42122000
Fixed offshore production platforms,43131000
Floating offshore production platforms,43131000
Floating offshore storage platforms,43131000
Floating offshore tension leg production platforms,43131000
Floating offshore tension leg storage platforms,43131000
Well production gas turbine meters,42112300
Oil well production gas treating equipment,43000000
Oil well glycol regenerators,42000000
Oil well heater treaters,42000000
Electrical line heaters,42000000
Pneumatic methanol injections skids,42000000
Subsea production wellhead equipment,43612700
Subsea umbilicals or flexible pipes,44163100
Subsea production manifold system,43000000
Vertical annular separation and pumping system,43000000
Subsea christmas tree and component,43000000
Oil field water oil centrifuges,42931000
Wireless production control systems,42000000
Sucker rod pump jacks,42000000
Rod pumps,42122000
Mechanical rod pumps,42122000
Pumping frame and extension assembly,42000000
Crank arm assembly,42000000
Equalizer pitman assembly,42000000
Horsehead assembly,42000000
Samson post assembly,42000000
Walking beam assembly,42000000
Hanger bar assembly,42000000
Oil water separators,42000000
Oil storage tanks,44611410
Fiberglass holding tank ,44611000
Steel holding tank ,44611000
Plastic holding tank ,44611000
Alloy steel sucker rods,44332000
Pony rods,44332000
Continuous sucker rod,44332000
Continuous sucker rod pin end,44332000
Sucker rod shear coupling,44167100
Pipeline pig,44161710
Ploughs,16110000
Harrows,16110000#16120000 
Cultivators,16120000
Weeders,16120000
Hoeing machines,16120000
Graders or land levelers,16110000#16150000
Agricultural rollers,16160000
Rollers for lawn or sports grounds,16150000
Trencher drainage machine,16710000
Irrigation trickles,43323000
Irrigation overheads,43323000
Disks,30000000
Subsoilers,16000000
Dibblers,16160000
Planters,16130000
Transplanters,16130000
Grain drills,16000000
Seed drills,16000000
Seed treating equipment,16000000
Hole diggers,16000000
Seeder attachment,16130000
Mowers,16311100
Haymaking machinery,16320000
Harvesters,16311100#16340000 
Combine harvesters,16000000
Threshing machines,16340000
Crop dividers,16000000
Harvester parts or accessories,16000000
Mower parts or accessories,16310000
Sprayers,16400000
Dusters,16400000
Water sprinklers,16400000#44115500#43323000 
Fertilizer spreaders or distributors,16141000
Fog or mist generators,42924300
Composter,39234000
Pollination equipment or supplies,16613000
Frost protection equipment,16400000
Milking machines,16620000
Animal husbandry equipment,16000000
Incubators or brooders for poultry,16651000
Feed mixers,16000000
Livestock identification equipment,16650000#03341000#35121600 
Egg inspection or collecting equipment,16651000
Animal watering machines,16000000
Milk cooling tanks,44611400
Animal shearing or clipping equipment,16000000
Wool comb,39000000
Cleaning machines for seed or grain or dried leguminous vegetables,16613000
Sorting machines for seed or grain or dried leguminous vegetables,16613000
Grading machines for seed or grain or dried leguminous vegetables,16000000
Rice cleaning or hulling equipment,16000000
Grinding mills,16000000
Hammer mills,16000000
Agricultural briquetting or pelting machines,16000000
Decorticators,16000000
Lumbering equipment,16000000
Reforestation equipment,16000000
Forestry saws,16820000
Forestry skidders,16820000
Forestry increment borers,16820000
