Description,CPV
Concrete and cement and plaster,44114000#44111200
Roads and landscape,71400000#45233000
Structural building products,44200000
Insulation,45320000
Exterior finishing materials,44115000
Interior finishing materials,44115000
Doors and windows and glass,44221200#44221100
Plumbing fixtures,39715300#44115210
Construction and maintenance support equipment,43320000
Prefabricated structures,43327000
Permanent structures,43327000
Portable Structures,43327000
Portable Structure Building Components,43327000
Underground mining structures and materials,43100000
Structural materials,44200000
Castings and casting assemblies,43720000
Extrusions,44160000
Machined castings,43720000
Forgings,42634000
Moldings,42600000
Rope and chain and cable and wire and strap,44540000#44321000#44333000
Hardware,44316400
Bearings and bushings and wheels and gears,44400000#42141300
Packings glands boots and covers,42921300
Grinding and polishing and smoothing materials,43414000
Adhesives and sealants,24911200#39812500
Paints and primers and finishes,44810000
Dyeing and tanning extracts,24221000#24222000
Machined raw stock,44330000
Industrial optics,32560000
Pneumatic and hydraulic and electric control systems,42121000
Housings and cabinets and casings,42113120#39141300
Machine made parts,42600000
Stampings and sheet components,42600000
Machined extrusions,42000000
Machined forgings,42634000
Fabricated pipe assemblies,44400000
Fabricated bar stock assemblies,44331000
Fabricated structural assemblies,44212000
Fabricated sheet assemblies,44172000
Fabricated tube assemblies,44164310
Fabricated plate assemblies,44171000
Refractories,24000000
Magnets and magnetic materials,31630000
Machinings,42610000
Gaskets,34312500
Seals,35121500#44425000
Sintered parts,14000000
Printed circuits and integrated circuits and microassemblies,31681300
Discrete semiconductor devices,31712330
Passive discrete components,31711100
Electronic hardware and component parts and accessories,31711100
Electron tube devices and accessories,31531100
Automation control devices and components and accessories,38424000
Lamps and lightbulbs and lamp components,31521000#31531000
Lighting Fixtures and Accessories,31500000
Electrical equipment and components and supplies,31600000
Electrical wire management devices and accessories and supplies,31300000
Heating and ventilation and air circulation,42500000
Fluid and gas distribution,44161110
Industrial pumps and compressors,42122000#42123000
Industrial filtering and purification,42514300
Pipe piping and pipe fittings,44163200
Tubes tubing and tube fittings,44164310
Laboratory and scientific equipment,38000000
Measuring and observing and testing instruments,38300000#38900000
Laboratory supplies and fixtures,38000000
Veterinary equipment and supplies,33110000
Medical apparel and textiles,33199000
Patient care and treatment products and supplies,33190000
Dental equipment and supplies,33110000
Dialysis equipment and supplies,33181100
Emergency and field medical services products,33100000
Patient exam and monitoring products,33195000
Medical facility products,33100000
Medical diagnostic imaging and nuclear medicine products,33124000
Independent living aids for the physically challenged,85310000
Intravenous and arterial administration products,33692510
Clinical nutrition,33692200
Orthopedic and prosthetic and sports medicine products,33141700
Physical and occupational therapy and rehabilitation products,33155000
Postmortem and mortuary equipment and supplies,33900000
Respiratory and anesthesia and resuscitation products,33670000#33170000
Medical sterilization products,33191000
Surgical products,33169000
Medical training and education supplies,33000000
Wound care products,33140000
Orthopedic surgical implants,33141700
Communications Devices and Accessories,32522000
Components for information technology or broadcasting or telecommunications,32210000#32500000
Computer Equipment and Accessories,30200000
Data Voice or Multimedia Network Equipment or Platforms and Accessories,32322000
Software,48000000
Office machines and their supplies and accessories,30100000
Office and desk accessories,39130000#39121100
Office supplies,30192000
Printing and publishing equipment,30122000
Audio and visual presentation and composing equipment,32320000
Photographic or filming or video equipment,38650000#32323300
Photographic and recording media,38650000#32333000
Photographic filmmaking supplies,32354300
Light weapons and ammunition,35300000
Conventional war weapons,35310000
Missiles,35620000
Rockets and subsystems,35333200
Launchers,35342000
Law enforcement,75131000
Public safety and control,75131000#75300000
Security surveillance and detection,38430000#35125000
Personal safety and protection,35113000
Fire protection,35111000
Water and wastewater treatment supply and disposal,90420000#90500000
Industrial laundry and dry cleaning equipment,42716000
Janitorial equipment,39713000#39800000
Cleaning and janitorial supplies,39713000#39800000
Institutional food services equipment,42210000
Vending machines,42933000
Gambling or wagering equipment,37540000
Collectibles and awards,18512000
Camping and outdoor equipment and accessories,37414000#37410000
Fishing and hunting equipment,37413200#37413000
Watersports equipment,37412000
Winter sports equipment,37411000
Field and court sports equipment,37450000
Gymnastics and boxing equipment,37420000#37430000
Target and table games and equipment,37460000
Fitness equipment,37440000
Other sports,37400000
Sports equipment and accessories,37400000
Recreation and playground and swimming and spa equipment and supplies,37535200#37412300
Nuts and seeds,03222000#03111000
Meat and poultry products,15110000#15112000
Seafood,15250000
Dairy products and eggs,1550000#03142500
Edible oils and fats,15410000
Chocolate and sugars and sweeteners and confectionary products,15842000
Seasonings and preservatives,15870000
Bread and bakery products,15612500#15811000
Prepared and preserved foods,15200000
Beverages,15900000
Tobacco and smoking products and substitutes,15990000
Cereal and pulse products,15613300#03212220
Fresh fruits,03220000
Organic fresh fruits,03220000
Dried fruit,03220000
Dried organic fruit,03220000
Frozen fruit,03220000
Frozen organic fruit,03220000
Canned or jarred fruit,03220000#15332000
Canned or jarred organic fruit,03220000#15332000
Pureed fruit,03220000
Fresh vegetables,15331100
Organic fresh vegetables,15331100
Dried vegetables,15331400#03221000
Dried organic vegetables,03212000
Frozen vegetables,15331170
Frozen organic vegetables,15331170
Canned or jarred vegetables,15331400
Canned or jarred organic vegetables,15331400
Anti infective drugs,33614000#33650000
Antineoplastic agents,33652100
Cardiovascular drugs,33123000
Hematolic drugs,33141500
Central nervous system drugs,33660000
Autonomic nervous system drugs,33660000
Drugs affecting the respiratory tract,33157000
Drugs affecting the gastrointestinal system,33612000
Hormones and hormone antagonists,33640000
Agents affecting water and electrolytes,33600000
Immunomodulating drugs,33652000
Miscellaneous drug categories,33190000
"Drugs affecting the ears, eye, nose and skin",33600000
Veterinary nutritional supplement,33617000
Floor coverings,44112200
Bedclothes and table and kitchen linen and towels,39514100#39513000#39121200
Window treatments,90911000
Domestic appliances,39700000
Domestic kitchenware and kitchen supplies,39221100#39221000
Consumer electronics,30100000
Domestic wall treatments,39191000
Clothing,18400000
Footwear,18800000
Luggage and handbags and packs and cases,18920000#18939000#18921000
Personal care products,33700000
Sewing supplies and accessories,39227000
Jewelry,18510000#39293500
Timepieces,18521000
Gemstones,18513400
Printed media,22900000
Electronic reference material,31710000
Signage and accessories,34928470
Accommodation furniture,39100000
Commercial and industrial furniture,39100000
Classroom and instructional and institutional furniture and fixtures,39100000#39150000
Merchandising furniture and accessories,39100000
Developmental and professional teaching aids and materials and accessories and supplies,39162100
Classroom decoratives and supplies,39298900
Arts and crafts equipment and accessories and supplies,37823500
Musical Instruments and parts and accessories,37300000
Toys and games,37500000
Fisheries and aquaculture,77800000
Horticulture,16400000
Livestock services,77000000
Land and soil preparation and management and protection,90522000
Crop production and management and protection,03110000#90522000
Forestry,77200000#03440000
Wildlife and flora,92534000
Water resources development and oversight,71300000#71600000
Mining services,45254000
Oil and gas exploration services,76100000#76200000
Well drilling and construction services,45255500
Oil and gas extraction and production enhancement services,76100000#76200000
Oil and gas restoration and reclamation services,76100000#76200000
Oil and gas data management and processing services,76100000#76200000
Oil and gas well project management services,76100000#76200000
Building and facility maintenance and repair services,50700000
Residential building construction services,45210000
Nonresidential building construction services,45215210
Heavy construction services,43300000
Specialized trade construction and maintenance services,45262000
Plastic and chemical industries,24000000#19520000
Wood and paper industries,03410000#22800000
Metal and mineral industries,14520000
Food and beverage industries,15000000
Fibers and textiles and fabric industries,19400000
Manufacturing support services,79400000#63100000
Machinery and transport equipment manufacture,43320000
Manufacture of electrical goods and precision instruments,42992000
Machining and processing services,42000000
Decontamination services,907222000
