Type of procedure actual,Type of Procedure
Direct award without participation competition,Direct award
Negotiated award without participation competition,Negotiated without prior call for competition
Restricted call for entries without participation competition,Restricted
Negotiated procedure with participation competition (EU),Negotiated with prior publication of a call for competition /   competitive with negotiation
Open procedure (EU),Open
Public announcement,Open
