Type of procedure actual,Type of Procedure
Call for tenders open,Open
Restricted tender,Restricted
Open competition,Open
Restricted competition,Restricted
Competitive dialogue,Competitive dialogue
Negotiated market,Other
Adapted procedure,Other
Other procedure,Open
Procedure with negotiations,Other
Procedure for awarding specific contracts,Other
Procedure for awarding subsequent contracts,Other
Dynamic Acquisition System,Other
