Type of procedure actual,Type of Procedure
23-AFFIDAMENTO DIRETTO,Direct award
04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,Negotiated without prior call for competition
06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),Negotiated without prior call for competition
